"gene","rank_metric"
"RPS4Y1",219.857567421235
"DDX3Y",186.719408435031
"BCL2L14",167.165620139947
"TYRP1",142.303961652394
"MLANA",141.022423505214
"USP9Y",139.217060564205
"EIF1AY",138.884107678311
"DCT",135.714703979874
"PMEL",126.258144552977
"TFF3",118.671860683577
"PPIL1",112.443787249107
"IGHEP2",112.137032794475
"TFF2",107.111226200978
"IDO1",105.704452504907
"TIFAB",104.159744430202
"CXCL11",104.0946056786
"IDO2",101.651574628575
"BATF2",100.586335179786
"GCSAM",97.6319796142232
"GPR143",91.7858502696201
"CCSER1",89.7241542763416
"PPM1J",89.0472435151842
"LURAP1L-AS1",85.4001457000141
"NSG1",84.8873363310506
"SIGLEC6",82.3274260706275
"RHEBL1",81.5721250932862
"CEACAM6",80.8614977482639
"ZFY",80.5997929538302
"LAMP5",77.7370313599619
"CFL1",77.0123622902535
"TMEM229B",75.2923816523038
"TYR",73.7377290368927
"SLC6A12",73.589198795543
"SELENBP1",72.5397603215375
"CXCL10",71.1440195614297
"SPECC1L",70.3190094026793
"PLP1",70.2333237568018
"PAQR8",69.3780338118228
"CEACAM5",68.9658014293827
"KRT18",68.5256258172462
"NEXN",68.2988155398638
"GPR82",65.077145951192
"SLCO5A1",64.6587327448372
"LAMP3",64.2130522366632
"GINS2",64.037999773999
"SGO1-AS1",64.0366088126093
"KRT1",63.9935678391932
"PARM1",63.4451621571974
"CCND1",63.085117594396
"BCAN",63.0834179859317
"KDM5D",63.0806006561835
"TRMT13",62.8403767820558
"CD207",62.4764945579508
"GBP7",61.7358169718955
"FIRRE",61.6061879322051
"XCR1",61.5184818202446
"WDR4",61.3974098683022
"HDHD3",61.1692668684534
"TFF1",60.9626598939401
"KCNS1",60.543889852528
"C1RL",59.601022299439
"PHETA2",59.3396596172773
"BRCA1",58.9230763088436
"LAD1",58.7299828464697
"GPATCH1",58.5290232733839
"MIR503HG",58.239221896336
"RPL38P5",58.0901769199163
"LINC00278",58.0088984979102
"POC1A",57.6858658188369
"HLA-U",57.635064248301
"DKK1",57.0079745952328
"HTT-AS",56.705601806286
"GRIK1",56.6978240484373
"FCRL6",56.5727882098961
"MT-CO3",56.4109450409527
"ZNF692",56.2461373949067
"KIF23-AS1",56.1676347233504
"THAP8",56.1294514581048
"DHCR24",56.0688303146672
"ZNF671",55.0910490398276
"NAALADL1",54.9840799617527
"SNHG11",54.8926710247411
"MYBBP1A",54.8781621000563
"CLEC9A",54.5407014584274
"PAXIP1",54.3847796282638
"PCDH9",53.8463616044869
"GCAT",53.6214245991448
"LINC02470",53.5423047367592
"CIB2",52.7113808103873
"ATP11A-AS1",52.6611707041562
"LGALS4",52.3957211079584
"CDC45",51.8717255158969
"KCNJ1",51.754760616647
"DNAJC16",51.5472661355221
