"gene","rank_metric"
"IGHM",286.461004256606
"JCHAIN",215.79709128424
"THBS1",204.984284609289
"CCL18",204.157625707094
"XIST",170.07402245123
"MS4A1",133.460450735613
"TSIX",112.791328331023
"CXCR6",112.029019965714
"CXCL13",108.368400156329
"CD19",105.186858359836
"ZBTB16",103.217353578767
"FCRL3",102.122369111832
"LCK",100.497356394562
"CD3G",100.221263034808
"DPEP2",100.220164120467
"CHIT1",98.2988086513741
"IGHA1",97.8878650096236
"IGKV3-11",93.0410237487441
"BLK",92.3374924130777
"IGLC2",91.5639845857479
"RPL7P46",91.0736595505044
"TNFRSF13C",89.8944482011022
"FCRL4",84.2537756443129
"LINC03125",84.1893257793467
"IGKV1-37",84.0932662460667
"CD96",83.6805420661833
"NELL2",83.4815908501849
"IGHG1",83.3855678111472
"EBLN2",82.9516275374466
"CCDC152",82.938789677904
"SRGAP1",82.7021638947426
"CD247",81.2656756705639
"SLC29A2",80.8636136076517
"FCRL1",80.7270958464379
"BCL11B",80.5130072647453
"SELENOP",79.8689513901962
"MZB1",79.5944590088727
"CD79A",78.9289983247627
"IGLV3-1",78.7309108998644
"CHI3L2",77.7256904651946
"KCTD11",76.8670402331846
"CD3E",76.6361750596435
"CD6",75.8589373265092
"TRAT1",75.0300356595851
"TNFRSF18",74.0266348108803
"IGHG2",73.5307270950797
"CXCL12",73.3469885676664
"WNT10A",72.2420613918266
"GPT",72.0164966431745
"FCRL2",71.5828333556961
"FCMR",71.5031333838916
"TCL1A",71.4602020470213
"PORCN",71.2484249368674
"TIGIT",70.4619875465243
"PM20D1",70.199802080427
"PDE3B",69.6443910401581
"LINC02541",69.5025451311497
"GJB2",69.3498954315045
"THBS1-AS1",69.2189300211374
"CPNE5",68.8791846760694
"FBXO10",68.8221775454016
"SSBP3-AS1",68.1371899282605
"TNFRSF13B",67.6704581385935
"FCRL5",67.604281754609
"ZNF251",67.3686087848185
"PGGHG",67.2510771209191
"LINC01681",66.0420807038019
"TRBV5-1",65.7543226801406
"PHKA2",65.4996957426107
"NIBAN3",65.0927892746547
"IGKV3-20",64.8669090029102
"IGKV1-17",64.3070823632532
