"gene","rank_metric"
"CD34",501.866242360072
"SOX18",391.748775238375
"RAMP2",373.680307797936
"ROBO4",318.054468197026
"HTRA1",299.178918481382
"NNMT",297.713568788833
"TSPAN7",279.459119797904
"TIE1",272.842825770274
"RAMP2-AS1",239.966981692914
"DIPK2B",239.000767110844
"ACKR1",230.903826254469
"NPDC1",221.32290411658
"ECSCR",221.012572895673
"CDH5",211.178672783426
"TMEM255B",206.918958036182
"ACVRL1",194.734199162183
"VWA1",191.785441336491
"POSTN",191.201408264063
"FAM107A",189.794421093422
"TM4SF18",185.007426188922
"ERG",176.751786670012
"MMRN1",162.903656945902
"HYAL2",157.19649444712
"EGFL7",153.118943122831
"EMCN",153.105532477444
"CCL21",147.073014183088
"GPR146",146.946582085352
"RAMP3",144.718513937605
"GNG11",142.178026216846
"SLCO2A1",140.141757161404
"JUP",138.572985844642
"PLVAP",135.837371184041
"KANK3",132.62794463517
"CAVIN1",131.721290123266
"SELP",127.827242372211
"PCAT19",127.48524265048
"LDLRAD2",127.124301923664
"ID1",125.881832090795
"RPS4Y1",121.805927778274
"PCDH17",120.830391418546
"MANSC1",117.41692141164
"EHD2",116.588295317531
"BCAR1",116.238908573506
"FABP4",116.04950620522
"HSPA6",114.869389741012
"KDR",114.684761570587
"CCDC3",114.318000457259
"FAM110D",114.19932900176
"GIMAP8",113.737817269075
"SEMA6A",113.6613507952
"SERPINE1",113.011275438657
"TINAGL1",112.758396022174
"GALNT18",111.780084988561
"RBP5",110.453332515416
"GIMAP6",110.371014859523
"SNAI1",109.959694681405
"SRPX",109.198540342708
"VWF",109.094270851811
"EXOC3L2",108.837925660337
"LAMA4",107.795415200289
"CTTN",106.980166613986
"GRB10",106.899568424347
"TEK",106.742472310495
"PRSS23",106.22012460503
"DCHS1",105.815382846481
"PDK4",105.596547148612
"F2RL3",103.581293732177
"NUAK1",103.178156975733
"RHOJ",103.136520608286
"CX3CL1",102.078309902529
"FCN3",101.506618918205
"FXYD6-AS1",100.154813165396
"ADCY4",99.6438637332224
"JAM2",98.7651253042591
"ZBTB16",97.491906293942
"SMAD1-AS1",97.3811602623921
"DBN1",97.3488464197061
"ADGRL4",95.7367830815018
"EFEMP1",95.6455589783126
"DDX3Y",94.5254076318814
"CDC42EP5",93.7482177403594
"CYYR1",93.3135777105527
"COL4A1",92.9278562275478
"HSPG2",92.8014598650429
"SNCG",92.5293470331425
"ADAMTS1",92.2027730740573
"SPHK1",91.9609440355054
"FZD6",91.8139926111477
"ZNF423",91.3532758585636
"KCTD12",91.0477794591909
"THSD1",90.5759920604578
"CYP27A1",90.5380618077704
"CRIP2",89.8655338367011
"FKBP10",88.9918453508599
"PLA1A",88.6419073751675
"PCDH1",88.4337401733788
"DOCK6",88.2493725032023
"GPM6A",87.0821136932369
"ATOH8",86.3041024870935
"APOL3",86.1689777705463
"UBTD1",86.1671554337921
"MSRB3",86.0773503477416
"MAP1B",85.057724652567
"USHBP1",84.7800518848959
"TGFB1I1",84.4987922135037
"TCIM",84.4733807664697
"CPXM2",84.1197285532413
"PDGFB",83.9139187997598
"MCAM",83.4888220597012
"ASS1",83.4030985015739
"GPR4",83.3590475293142
"F2R",83.3215572163934
"SLC35G2",83.0277280515115
"OLFM1",82.9630148937368
"SASH1",82.321829887039
"ARHGAP29",81.9770674357145
"TSPAN9",81.6166994161055
"MFAP2",81.1821897755495
"EFEMP2",81.1687171549876
"GATA2",81.0213057775911
"EFNA1",80.7726515238846
"STC2",80.4020325372917
"HYAL1",80.1290758312546
"HSPA1L",80.057644725722
"CRACDL",79.6376835231536
"ITGA6",79.3635827994477
"RASIP1",78.9969489259693
"SOX17",78.7249967569274
"CDA",78.5173277674796
"HOMER3",77.6517548176923
"HLA-U",77.5005370228845
"ZNF521",76.7484660482046
"COL15A1",76.0259303162652
"H1-0",76.0010796888214
"TPBG",75.7003545026715
"NRN1",75.280275489878
"NOTCH4",75.2529507075869
"IGFBP4",74.9832952363336
"NHERF2",74.9245580557625
"GABRE",74.4666404441452
"COL4A2-AS1",74.3706700455783
"HSD3B7",74.2154095826256
"FAM171A1",73.7620811911445
"AFAP1L1",73.4962540124004
"FLT1",73.446740833735
"ABCB1",73.2671032421203
"FLNC",73.2414969629967
"COL4A2",72.9410360051573
"PECAM1",72.6660726136053
"FAM167B",72.280185876969
"CNKSR3",71.9127104247814
"FNBP1L",71.8622931030244
"CCDC80",71.8233900824574
"OSMR",71.8007775901711
"ENG",71.6208214565326
"TSPAN4",70.6202955436334
"APOD",69.7954058131965
"MAPK12",69.7914214486814
"NID1",69.2144496717927
"FN1-DT",69.0290508867515
"CASKIN2",68.8760732640884
"FSTL1",68.6258989223018
"IDUA",68.435035490525
"CNTNAP3B",67.7281405821148
"CALCRL",67.4784344513316
"INHBB",67.4382833114566
"DYSF",67.4147789856704
"PRICKLE1",67.3211457049204
"FGD5",67.0293626261089
"TLE2",66.5176248187462
"RSAD2",66.0677068626994
"SLC49A3",66.0561043510042
"RIN2",65.8515918835572
"PDLIM4",65.769252771376
"CD14",65.5452957730454
"PROX1",65.2057100464168
"GASAL1",65.2007359580123
"NXN",65.1847270148058
"TPM1-AS",65.0726468410985
"IGFBP7",64.9481805447631
"GNA14",64.7511527301539
"TNS2",64.7422075712538
"PROS1",64.4796623811656
"IGFBP5",64.462732891531
"FLT4",64.283944521087
"TMTC1",64.2460474776103
"AVPR2",64.1442485604672
"SMAD1",63.9902685294843
"CFL2",63.593420194667
"TMEM204",63.5809411604537
"C7",63.4875148650798
"SEMA3F",63.2693840831634
"CPNE2",63.0805856513494
"LINC00323",63.0029213755772
"CCN1",62.9984733738032
"CXCL9",62.6770029728551
"RUSC2",62.6583440423463
"PROCR",62.4173088268197
"IGFBP7-AS1",62.1290161225867
"SYBU",62.0363263892234
"USP9Y",61.6592763425658
"TMEM233",61.4640114687307
"ANGPT2",61.3737623417974
"LPCAT2",61.3163712502827
"CACFD1",61.1410087071446
"TNFAIP8L3",61.1367499423673
"DHODH",61.1035130905226
"RILP",60.928007630759
"NEIL2",60.9227256877762
"RAI2",60.8603622001865
"HEBP1",60.7699108216012
"PTPRG-AS1",60.6322654855371
"ANKRD65",60.5695166943178
"TSPAN12",60.4668035962334
"CLDN15",60.3653273787723
"CCM2L",60.245118281258
"ZNF358",60.174515488845
"BOK",60.0279375173379
"NR2F1",60.0263929315535
"ARC",59.966825967816
"SPR",59.8852113053416
"NECTIN3",59.7519938439527
"ADGRG1",59.7208242727659
"SPRY4",59.6890698735739
"TSPYL4",59.6565483621513
"EVA1B",59.3308068762957
"LYL1",59.3276263061359
"IFIT1",59.243546712746
"ZNF467",59.0320032593859
"C1QTNF6",58.9417582113883
"KRT18",58.822295738136
"SEMA6A-AS1",58.811043979258
"FBLN2",58.7906504460018
"BATF2",58.6763070439249
"CARD10",58.6681464608236
"OSCP1",58.6674399024114
"LDB2",58.6657347115308
"NOSTRIN",58.5510050684449
"NLGN4Y",58.4591948215641
"PIP5K1C",58.4449945969314
"CDC42EP1",58.1659592668307
"BMX",58.0921443432083
"CETP",57.7865653972429
"BMP1",57.6079701801776
"ERRFI1",57.5973697326883
"RCN3",57.5227376540419
"EPHB2",57.5170884948555
"YAP1",57.475987469659
"PKP4-AS1",57.3736106184364
"RAB13",57.1672221941901
"COL18A1",57.1550197663577
"TBKBP1",57.1032430763332
"GJA5",57.0947209513141
"CNRIP1",57.0092721871688
"WASL",56.8967120010416
"CCDC102A",56.8362802975515
"LINC02767",56.8017647983674
"PDE2A",56.6540072389148
"MDFI",56.5748897567556
"TMEM98",56.5346742119356
"CCL14",56.3803759486987
"SLC22A17",56.2777498978769
"BTNL9",56.2661784672263
"CXCL11",55.9425686145776
"EDN1",55.8541165680949
"DLL4",55.8512707755253
"CCL23",55.8313032106861
"EEF1AKMT3",55.799072574661
"CEACAM1",55.7315274603509
"NFIC",55.6628580261152
"EMID1",55.5809248236582
"CLMAT3",55.5355216763202
"PGM5",55.4991518490896
"FAM124B",55.4607631433195
"ARHGEF15",55.4397802005554
"PREX2",55.3388318853319
"NR5A2",55.246246795499
"EDNRB",55.2270610675165
"FOSL1",55.2047797062819
"LY6H",55.0912337974938
"LEPROT",54.751452405445
"CICP14",54.5956423401906
"TULP2",54.5364228481674
"HOXA5",54.5052060554722
"ITGB5",54.4480338099721
"POMGNT1",54.3501739291209
"NOVA2",54.3410008233496
"ANO2",54.2100562801248
"RCN1P2",54.2095038372392
"ZNF662",54.1069707934949
"FAM162B",54.0761891809922
"ITGB4",53.9570393211093
"EVA1C",53.7469708034115
"ZSCAN31",53.5139947640606
"ASB9",53.4312231962502
"ZHX3",53.3454113871235
"TSPAN15",53.2702696858059
"SMIM10",53.1854437297719
"LTBR",53.1418761003212
"IL34",53.0856842322386
"NRSN2",53.0610222312688
