"gene","rank_metric"
"RGS1",706.825521228456
"LSP1",606.83741849412
"SRGN",374.172857207762
"ALOX5AP",321.669876281871
"ADAM19",269.076687198244
"PRR33",264.697517113084
"TRAC",244.394736991279
"PTPRC",229.810385224914
"RHOH",214.992740992958
"LCK",172.1984845105
"PRKCB",165.094336712097
"CD53",155.530687032297
"TRBC2",147.248060394168
"GZMB",146.315318160659
"C16orf54",145.989098226188
"GNLY",141.719410493428
"LCP1",139.703427121049
"ZAP70",134.874280304731
"CD2",134.171386490893
"CD69",134.05968195132
"SELL",132.429105638004
"CCL4",131.385087988668
"SASH3",127.190512156141
"CD52",125.863142817241
"CXCR3",123.43092826293
"PTPN7",122.773269053661
"SLA",122.770940851471
"PRF1",122.294741774072
"CXCL13",119.263396712385
"IGHG3",118.156675027395
"IKZF3",116.340601423735
"AURKB",115.307733517467
"IL10RA",113.711092785891
"KLRD1",113.443106130826
"IL2RB",112.779406944335
"CTSW",112.070543892577
"IGLV2-14",111.799113282969
"CXCR6",111.472569586494
"HAVCR2",110.434104269349
"GZMA",109.279086197795
"CD3G",108.462129593101
"CD96",107.876672474241
"SLC2A3",107.242178760259
"SH2D1A",106.516658648035
"FYN",106.420273624506
"PTPN22",105.631565568428
"PALD1",103.616553685064
"FCER1G",103.318255551178
"CD3D",102.470090874008
"SPN",101.295260044561
"GPR65",101.007273681426
"GPR183",98.0647326585497
"ADGRG3",96.9736582766637
"ITM2A",96.2630508139713
"HCLS1",95.0424440531678
"SPOCK2",94.9390767648969
"TBC1D10C",94.9101880557858
"CD6",93.6486979008445
"KLRC1",92.9524865205167
"CCL3",92.8318037761686
"CEP55",92.7692021104154
"MFNG",92.0460176942778
"CD247",91.7667629839948
"TIGIT",91.6420303703622
"SEPTIN1",91.0915281322184
"CD48",90.8778376154155
"IL27RA",90.8568571281357
"MYO1G",90.6221219335972
"PARVG",90.5859057521683
"DOK2",90.316177830353
"ZEB2",90.2946428364839
"NKG7",90.2414320444138
"ARHGAP15",90.0853924446159
"KIR2DL4",89.2518671596434
"CMTM3",89.0825638963034
"CTLA4",88.0180421689133
"IFNG",87.0309044854528
"JAML",86.532393876302
"CCL3-AS1",86.518156423682
"GNG2",86.2496709001758
"ARHGAP4",85.8980987636805
"ARHGAP9",85.8783933621718
"RCSD1",85.4902879520785
"ZNF683",85.3176952573182
"P2RY10",85.1371642362071
"PCED1B-AS1",84.5927953483707
"NCKAP1L",83.8896628124559
"CHST11",83.5571117494193
"BIN2",82.8090706485224
"SNX20",82.3213915664844
"TRDC",81.1518771555746
"KLRC2",81.0172416188607
"FASLG",80.6224338442882
"CD3E",79.8592955096056
"MKI67",79.6840143751078
"PCED1B",78.920894517453
"LAYN",78.6178238661453
"TRAF3IP3",77.8808773490447
"ICOS",77.5295368084654
"PPP1R16B",77.4886466024209
"ITGAL",77.2962360186391
"IGHV3-30",76.8181766622364
"IGKV2-30",76.4809887156393
"TRBC1",75.8159416622657
"ABI3",75.5433485690446
"LCP2",74.8994512631866
"IL2RA",73.8595526913645
"GSTM1",73.6633775093975
"SAMD3",73.2814213772884
"SKA1",73.1152641146592
"GPR171",73.1039998810424
"CST7",72.5850973846437
"IL21R",72.3406051257334
"FGR",72.1881529197607
"CD37",71.7775560006939
"TRD-AS1",71.2962541309835
"SCML4",71.232843527613
"IL7R",71.2300620955282
"GZMH",71.1395640043032
"CLNK",71.0094431873558
"LINC02446",70.8880257491244
"LINC01147",70.5525065752812
"KLRK1",70.4889274280224
"FGD3",69.8659712373778
"IGLV2-28",69.7010906506654
"STAT4",69.5004733320328
"PFN1",69.3963046604143
"IGLC2",69.2182656672523
"XCL2",69.175242757492
"CKAP2L",69.0896160575187
"TRGC2",68.9833395416683
"PYHIN1",68.856824304339
"MAP4K1",68.8184453809031
"LAPTM5",68.6917032023597
"ITK",68.4363038742228
"KLHL6",68.1375363351317
"SLAMF1",67.6253716778971
"CD244",67.6023757854357
"TRG-AS1",67.4699502274977
"RASAL3",66.9006802459325
"CCL5",66.650021833061
"CCL4L2",66.4097018794982
"ST8SIA4",66.2882182933202
"SIT1",65.5243230561611
"LAT2",65.2539279028666
"GIMAP7",65.0152867669219
"LINC01871",64.9086166190771
"DLGAP5",64.6912043009178
"TMIGD2",64.6089887964952
"GIMAP4",64.5260827113658
"IGLV2-5",64.442883331776
"GZMK",63.8774373338389
"IGHA1",63.8202701938927
