"gene","rank_metric"
"TPSAB1",4162.20930746341
"TPSB2",3676.14041399673
"KIT",2688.10080737022
"CPA3",2353.62053329061
"HDC",2027.65461359999
"MS4A2",1704.59213473872
"TPSD1",1584.20282151756
"SIGLEC6",966.540437657093
"RHEX",965.269763768231
"HPGDS",956.510064485236
"PTGS1",587.328137217112
"SAMSN1",355.589190584532
"RGS13",315.209632275849
"GPR65",291.454112255539
"LAX1",278.294640175154
"CTSG",237.895454620656
"BTK",236.713946775638
"SLC18A2-AS1",234.033308317137
"LINC01147",199.339888892432
"CD33",195.553939966826
"DHRS9",184.895108686411
"MLPH",178.695419319048
"SYTL3",177.609547310161
"GALNT6",174.539816401768
"TESPA1",170.645262133725
"IKZF3",165.920264092191
"TNFRSF9",156.190106508812
"LAT2",152.414247191644
"CALB2",151.602029212481
"CADPS",151.468797528137
"STAP1",150.857023316193
"DDX3Y",147.685331359974
"GRAP2",142.215218577918
"ALOX5AP",141.868696991166
"FCER1A",141.259582740373
"SLC18A2",140.138515575486
"CD300A",136.335469034144
"PIK3R6",134.520147226682
"ALOX5",132.801211125912
"KRT1",129.157655847638
"NTRK1",129.058610528487
"TBXAS1",124.282485619404
"CD22",124.092537512378
"RAB37",123.578296635052
"CD69",121.709514445394
"GNA15",121.060392980373
"TMEM154",119.136782035742
"C3AR1",118.86398445617
"ADCYAP1",115.140248325994
"CMA1",111.638156040906
"SIGLEC8",111.573238151864
"VAV1",111.404899969124
"CHN2",107.471456221902
"GPAT3",106.908831253524
"CD84",106.283420964201
"KCNH2",105.179174469459
"CDK15",103.77571988657
"C16orf54",101.832607211326
"ENPP3",100.151733799716
"CD37",100.057211858753
"GCSAML",99.6999060497773
"FGL2",97.8832742319534
"CDCP1",95.3403728494843
"RAC2",94.599030114068
"UNC13D",92.6601595229458
"MIR3142HG",90.8868493101026
"CAPG",90.6947550577109
"ADRB2",90.3904697867995
"GPR35",90.0206957856136
"TNF",89.0484581941198
"IL18",88.6069940600689
"ATP8B4",88.1613817545247
"SLC30A2",87.3682333887906
"BCL11A",86.8936206845457
"SIGLEC14",85.4587098875856
"GATA1",85.2723434297827
"AP1S3",84.688134411408
"ZBTB32",83.8822101373063
"SLC24A3-AS1",82.7966285760482
"SERPINE3",81.8495800070351
"NCKAP1L",81.5604363392745
"TRIM63",79.2832539617936
"MIR3918",79.2291240745243
"KIAA1549",78.9537013234983
"SYK",78.5190253688863
"TRAF3IP3",78.3595390321598
"GPR34",77.9618992413357
"GAPT",76.8641994747029
"ITGAM",76.5026562633744
"SIGLEC10",76.1015594380581
"SLC36A1",75.1081259488307
"IL13",74.9825197425439
"GALNT3",74.2613467982387
"PROM1",73.9083073554436
"LINC02977",73.7478464443017
"LAPTM5",72.9870480073665
"CD38",72.8839208531926
"LGALS12",72.6546910957172
"COL9A2",72.0562549485353
"TMEM213",72.0086870484963
"LINC02207",70.6817880968581
"KLHL6",70.5331612072145
"HAVCR2",70.332041641363
"AKAP5",69.341616743365
"CD300LF",69.1287759080154
"CD48",68.2841308919989
"LINC02752",67.9754798611731
"CATSPER1",67.7705561120059
"IGHG3",67.7109158234077
"IL12RB1",66.9755603365496
"ARMH1",66.7236000284156
"ARSK",66.5393626292085
"RAB44",66.4133464075435
"CD300C",66.2989813525445
"TNFSF14",65.9387383645672
"LRRC61",65.6769223236975
"SLC27A2",65.1473353777821
"EXO5",64.5477074804783
"MLANA",64.2440175866401
"EVI2B",64.0817958682141
"SLC24A3",63.0463916072693
"OR2AT1P",62.7146261928178
"USP9Y",62.5173843333256
"SASH3",62.5102992271457
"SVOPL",62.229277868845
"UCA1-AS1",62.0074958994522
"ZFY",61.9384794326663
"LINC01094",61.8065463590702
"CCL4L2",61.5016773353541
"ZNF799",61.4757693368134
"FAM83F",61.3679734478421
"FAM30A",61.3050928496283
"PAQR6",60.9019426482069
"PAQR5",60.8671799847462
"CHRNA6",60.8060958284859
"HAS1",60.5083087724299
"PRKCB",60.2668975082635
"PRR15-DT",60.0499794664685
"CLNK",59.8913350713386
"CYTH4",59.7039890475097
"CST7",59.6722448007341
"SLC37A2",58.2506351081402
"CXCL16",58.0858995903653
"CCL3L3",57.7486795343665
"FFAR1",57.6722842297034
"RAP1GAP2",57.0571655131569
"SDK2",56.2629701045374
"RUNX3",55.9970816997359
"PLAAT5",55.9941427415703
"DNAI2",55.9684338596422
"CTRC",55.5320941200449
"ZDBF2",55.4260058383737
"ADORA2B",55.3336905187834
"ELOVL7",54.9104513766997
"MAD1L1",54.8986435166663
"FBP1",54.7654201020667
"AQP10",54.6129118300274
"LINC00877",54.1354955802194
"GM2A",54.0089072390365
"EFHC2",53.9912887331462
"HOXA1",53.8804843271161
"PZP",53.4739670405837
"IRF5",53.2574812237077
"SLC8A3",52.9602162643517
