"gene","rank_metric"
"SRGN",314.207834627282
"IL7R",287.460442712621
"TAGAP",227.986323498993
"CYTIP",192.180872162747
"SAMSN1",187.926758637526
"CD247",180.795563221445
"JAML",174.239825244628
"P2RY10",173.670348469951
"RHOH",172.674543414879
"RUNX3",169.912378047666
"JAK3",164.233661941192
"CD3D",164.041938060792
"TRAC",158.015159120452
"CD28",157.559470066298
"MIAT",156.113232916926
"IL2RB",154.39798839479
"ICOS",151.408993937625
"GATA3",151.311422071452
"IL2RG",147.178026717219
"ESPN",146.489178462312
"CXCL13",143.790341749162
"CD3E",142.578479715494
"CD3G",141.175302534756
"CCR4",138.6593677075
"TNFRSF4",138.1550593389
"IGLV1-44",137.935817976205
"IGHA1",136.449489504547
"SPP1",136.084606871426
"CORO1A-AS1",135.594763442845
"SLA",135.558535220918
"ADAM19",133.321511000383
"KLRB1",127.593927776981
"TNF",124.107948969367
"CD53",124.089871134262
"IGHV1-46",123.423573779759
"CD2",123.059481049914
"CD69",120.499142141639
"TRAT1",119.892990558902
"S1PR1",119.682576165756
"FYB1",119.252773677426
"ITK",119.212348554048
"ALOX5AP",119.095557443919
"CCR6",118.655873194869
"PRR33",116.40960183681
"CTLA4",116.287823183736
"SELPLG",115.942466947691
"CXCR6",115.268406616731
"COTL1",114.698877551191
"TRBV19",114.64161369137
"SH2D2A",113.203946865474
"TIGIT",112.758209063541
"PDCD1",112.419778252638
"FCER1G",111.786536759591
"PSTPIP1",110.253525096169
"C1QB",110.248700064668
"DOK2",108.856406166453
"TRBC2",107.577871979394
"TRBV7-9",107.322939931571
"TNFRSF25",107.31955287937
"CORO1A",107.223315655649
"CEACAM21",107.014150766391
"LSP1",106.845658160794
"RAC2",106.324469001406
"C1orf162",106.109422660139
"TMEM273",105.645548883163
"EVI2A",105.633048489758
"ARHGAP15",103.984147618741
"PRDM1",103.737175713103
"TRBV27",103.524378689264
"CXCR4",103.220869853968
"GZMK",102.288181634953
"PLP1",101.015139632105
"TRBV5-4",100.874969015864
