"gene","rank_metric"
"FCRL5",578.103870220686
"IGKC",559.435345119599
"IGKV3-20",456.131652093016
"DERL3",446.388130135102
"IGHG2",441.024711064841
"CD79A",430.633426441393
"IGKV3-15",410.360588791188
"IGKV4-1",407.620501164054
"IGHV3-7",375.06354274467
"IGKV1-39",363.109675400173
"IGLV2-14",362.378725454587
"IGHV3-23",346.824583342217
"IGHV4-34",338.610337689372
"IGHV4-39",335.427930541339
"IGKV1-5",333.080067847546
"IGHV3-30",321.16190330737
"IGLV3-19",320.572052545833
"IGHV3-74",318.158800493612
"IGHV3-20",317.307196868393
"IGKV1-16",316.96442816929
"IGHJ6",314.972497911346
"IGLL5",314.304307441102
"IGLV3-1",313.831273040363
"IGLV2-11",313.586653345944
"IGKV1-9",310.106314861153
"IGHA2",308.579312690062
"IGHGP",307.924675425558
"IGKV1-27",304.333676066483
"IGLV6-57",299.683508502707
"IGHG3",295.799426291178
"IGKV1-8",295.09227791131
"PLCG2",294.328432291065
"IGHV3-15",290.030314194046
"IGHJ5",289.611510364017
"IGHV3-48",283.864522950524
"IGKV1-12",282.137757248646
"IGHV3-21",281.433245863993
"IGHV3-43",281.355191721851
"IGKV2-28",279.099135478679
"IGHV2-5",278.161349548816
"IGKV1-6",278.150816819075
"IGKJ1",275.018245640839
"IGHV4-59",274.531920585975
"IGKJ4",273.252884358856
"TNFRSF17",265.858372816716
"IGKV2-30",263.66577015848
"IGHG1",261.762520956189
"COBLL1",261.07229276867
"IGHV3-11",260.488594034159
"IGKV1-17",259.165521629851
"IGHV4-4",254.668257784796
"IGHV3-49",252.881760472625
"IGLV10-54",252.844146411258
"IGLV3-9",252.26090036994
"IGHV3-64D",251.088047852431
"IGHV2-26",250.455660718745
"IGHM",250.240237354179
"LINC02362",245.641343476389
"IGLV3-25",241.364308282297
"IGHJ3",236.595453012551
"IGLJ2",231.500214060435
"IGHV3-66",229.663523298446
"IGLV2-18",227.368500612662
"IGHV1-69D",225.997636724581
"IGKV3-7",224.13111711546
"HSPA6",224.114813209021
"IGLV3-10",223.329188657093
"IGKV1-33",222.897120579858
"IGKV3-11",220.794907784435
"IGHV4-28",220.64276731744
"SDC1",220.521380523714
"IGHV4-31",219.063972289717
"IGKJ5",217.97405311704
"PARM1",217.494213497071
"IGHV3-53",210.23568313319
"IGLV1-51",209.291750391873
"CARMIL1",209.250046219845
"IGHV1-2",207.187625109211
"IGHV3-13",205.511942820775
