"gene","rank_metric"
"IGLV3-19",253.821115651725
"DDX3Y",247.351023991332
"IGLV3-25",207.027336154713
"IGHV3-15",198.137674434338
"IGHV4-59",138.218219018531
"SERPINA1",137.32812001919
"RPS4Y1",133.30148804845
"USP9Y",128.537917994603
"IGHV3-64",121.801443303844
"IGLV2-11",119.679525428459
"IGLV3-10",115.461164893082
"IGLC2",114.615438283197
"IGHV3-20",114.226529734028
"ANKRD55",113.951895634999
"IGHA1",109.77351764779
"IGKV2-30",102.923135007015
"SMIM43",102.806672648159
"EIF1AY",100.396250604481
"HLA-U",100.053771321976
"IGHV3-43",95.4532899213251
"UTY",91.2787298681813
"RAB20",85.6363729243173
"IL1R2",85.611985175596
"PPL",84.6569862921766
"IGLV8-61",84.4616071017215
"FLVCR2",84.3719565776523
"MIEF2",84.3620622021944
"ZNF343",82.8747950103138
"DMTN",80.4966780136477
"HLA-B",80.3132757574893
"CFL1",79.8710228021221
"STOML1",79.6955006518992
"FNDC4",79.5233712890693
"TTTY14",78.3911830275924
"DTWD2",76.777732084046
"KDM5D",75.4271772448071
"CRMP1",75.0233557347518
"IGKJ1",74.9400063683859
"DLL1",72.9633668554934
"HLA-DOA",71.761082437449
"IDO1",71.1457666703874
"ZKSCAN4",70.7886872696816
"ELAC1",70.1952380623257
"TRBV15",70.1162988037182
"HUS1B",69.8098606224242
"FNDC10",69.6199677583834
"RBM47",69.61584981833
"ZFY",68.6265231423089
"ZNF180",68.6255102452076
"SNX33",67.6915599154357
"RHPN1",67.2644643604902
"TRPV1",67.0049667265458
"FCGR2A",66.9203303769152
"MFSD3",66.6507747249056
"SSPN",66.6327990447999
"SIPA1L2",66.2809039407478
"IGHD3-3",66.0666205968977
"CD177",65.8254226338102
"FBXW8",65.5329934278131
"TRBV24-1",65.5116213424372
"CDO1",65.3917966510608
"TRAV26-2",65.3034135258816
"TSSK6",63.7021650144928
"PDE1B",63.3510628877107
"C19orf44",62.9458375748418
"ZBTB22",62.9451658111227
"ATG4A",62.8496707038729
"RB1-DT",62.8237203519779
"GALR2",62.8201156847957
"PROK2",62.6549494979471
"ASB15",62.1892798740769
"TSSK4",61.4704282572983
"C17orf107",60.6015514470766
"TRAV38-1",59.8073725552047
"ADGRG3",59.7734508614621
"FOXP1-IT1",59.5940497622135
"REEP2",59.2378139267967
"TMEM199",59.0857109888856
"VSIG4",58.4670478285263
"H2BC18",58.0939778624802
"ACER1",57.8492984932914
"OR4F3",57.8452869920968
"USP13",57.6401116010013
"ZNF785",56.7985486982748
"TXNDC5",56.5519061912251
"LRRC61",56.4555237996561
"WIZ",56.1660645886959
"LARGE2",55.8358129180577
"NBR2",55.7645670520308
"PARP3",55.6851476353551
"SPIN2B",55.3982012854229
"VPREB3",55.151309289194
"ST7",55.1425643835323
"BRD7P3",55.1110185146317
"FBP1",54.9594800737159
"ZNF595",54.9192783809147
"FCER2",54.8725888759714
"SENCR",54.8210757185476
"ZNF174",54.8107082565778
"ARSD-AS1",54.609137565584
"KCNK1",54.5632197797848
"MID2",54.2940337274852
"C1QC",54.2792128628231
"CERS6",54.276574699251
"ITGA11",54.1974804243718
"KLHL3",53.8685837019715
"TM6SF1",53.7499290029992
"ACTRT3",53.4178465964874
"COL23A1",53.3282729322735
"ZNF782",53.2639344813219
"GAPDHP2",53.0399699205321
"F11R",52.7371781606885
"ZNF565",52.1686692718562
"SIGLEC14",51.9082304317243
"FGF9",51.7142988797552
"SMIM35",51.5675230232408
"CEACAM6",51.3763051634314
"SUGT1-DT",51.1752578808749
"TNFAIP2",51.0769325023634
"BFSP2",51.0631711206799
"ASCL1",51.0425506073068
"GPR4",50.8724678966271
"TRAV41",50.8146275996083
"CEP83-DT",50.6167026763921
"GPR31",50.5816061120485
"SLC22A14",50.5512438010233
"ADCY9",50.4976596612079
"HHAT",50.291766336636
"PLA2G4A",50.28466329342
"ILDR1",50.2111577343364
"SLFNL1",49.9556478510785
"CCL13",49.6803886948112
"ARL5C",49.5698316001615
"NAA40",49.2365797745166
"WNT5B",49.0654833283631
"LINC01560",48.9834905225293
"SLC30A4",48.8129413988073
"PGF",48.7366363007849
"IGHA2",48.5451382494133
"TMPRSS9",48.5399490680893
"LRG1",48.251716400351
"CDK14",48.2244665735086
"ATP6V0A4",48.0938107103944
"CYP2U1",48.0893987316467
"FAM215B",48.0476194552927
"C16orf96",48.0450884215399
"LRRC23",47.9913335153344
"NCCRP1",47.7517387841203
"FAM20A",47.6690667424726
"CGN",47.6287551741558
"OVOL1",47.6032975130691
"LINC00355",47.335127049602
"METTL24",47.2851742767962
"SEMA4A",47.2511766889048
"CTXND1",47.1390537718672
"IGHJ6",46.9727144719743
"MAPK11",46.6352308151849
"IL1RN",46.5935790784902
"HLA-A",46.5856565170863
"EFNA5",46.2825031209949
"RPL23AP34",46.2633486972219
"RPL9P29",46.144567179253
"MTCYBP14",46.1388294950809
"LINC01962",45.9458697858646
"CTU1",45.9222696345957
"MAGIX",45.918193782168
"TPSAB1",45.6976356817701
"CD300C",45.2806433646961
"MEGF8",45.2183907850049
"ODCP",45.1757641921391
"ST6GALNAC6",45.1279246460063
"MC1R",45.101560916924
"CTPS2",44.9752506043798
"IGLV2-8",44.8617012060844
"CR2",44.7016971094597
"CADM1-AS1",44.6131643841781
"NUAK2",44.5219686025727
"ANKEF1",44.5065305009891
"HROB",44.4850195508342
"RN7SKP282",44.4003645260178
"OR2W6P",44.3764329770353
"DHX58",44.3744750330221
"BTNL9",44.3553044121141
"FAM234B",44.3026070842174
"CICP14",44.2388525929787
"TKTL2",44.1594245365239
"LINC02035",44.0669604173299
"FDPSP4",43.994400143082
"MFSD2A",43.9442040164431
"ALDH3A1",43.9145347737011
"KIR3DL2",43.89461133718
"JUND",43.8405140577202
"TRH",43.758365114644
"ACTL10",43.750131537782
"CD86",43.6413459824252
"C2orf15",43.477957663937
"SCAMP1-AS1",43.4721367035321
"FOSL1P1",43.4697497329499
"TEX9",43.4463622778069
"CRACDL",43.420506436401
"ZBTB7B",43.3897090719937
"ZCCHC18",43.1474131256474
"NPTN-IT1",43.1445786835545
"MFSD12-AS1",42.9779839598189
"PLEKHM3",42.9020238622998
"RN7SL16P",42.8833378520162
"UBE2SP2",42.7854482776443
"TIGD2",42.7640248004576
"CD180",42.7315385837873
"ADAP1",42.7259172753669
"PLEKHA3P1",42.5327894911763
"INSR",42.4391805678354
"MCM3AP",42.4295865604019
"ABHD4",42.4249171957232
"GIHCG",42.3680909331567
"COBLL1",42.3159445927247
"DENND2C",42.1431116717818
"GPR180",41.9445873659248
"JADE3",41.9096159525977
"ITPK1P1",41.8788957511315
"PRKAR1B-AS1",41.8484444405668
"FAM89A",41.8326724819005
"DDIAS",41.813980591975
"SIGLEC10",41.7974635531372
"CNKSR1",41.7128241204767
"ASB13",41.5889450872894
"MATCAP1",41.5547438390465
"LDLRAD3",41.5256647012733
"PDK4",41.4701108292937
"PDLIM4",41.4644664261982
"RPL4P1",41.4215072389086
"ADCY4",41.3942927665482
"PHF24",41.315677753054
"TNFRSF11B",41.3132593201929
"OR4F2P",41.3112170597172
"ADAMDEC1",41.2190575799292
"CA3-AS1",41.1079909799847
"CLIC2",40.9500780708756
"PRPF19-DT",40.7468681992328
"FZD6",40.7190631866908
"ROBO3",40.7182201252723
"CHRNA5",40.6916605242548
"CCDC87",40.6406573973793
"ETFBKMT",40.5420109461896
"H4C12",40.4773757853689
"KDF1",40.4350528571948
"MACC1",40.4185480103415
"HSD3B7",40.3736509842091
"CH25H",40.286321114305
"ZNF283",40.281804255981
"POC1A",40.1584640485404
"STARD9",40.1132437819071
"DNAH1",40.0787087388909
"TIGD3",40.0063679175394
"BCAR3",39.9089941829669
"ARMCX1",39.7331945981439
"TRBV10-2",39.712950148924
"TMEM108",39.5182838403675
"CETP",39.5116326831896
"PRSS16",39.4368483100069
"GPR160P1",39.4162820844961
"PABPC1L",39.3877208463273
"FAM111B",39.3366975618197
"MEOX1",39.1188923005821
"JUNB",39.079921627631
"ATOSB",39.0746700803127
"HECTD2",39.0646425231632
"DIRAS2",39.0420377925805
"CEBPB-AS1",39.0291971930278
"RUNDC3B",39.0255032694083
"TBC1D10B",38.8905055700685
"PJVK",38.6621876754894
"UGT8",38.6599626685277
"BRDT",38.5676315326429
"ZNF768",38.5305336594342
"KMT5C",38.4695070857676
"KPTN",38.3966800486236
"RPL21P118",38.3560827095906
"INTS9",38.3275838644853
"SEMA4C",38.3225165738315
"SLC2A9-AS1",38.2883391812126
"CD36",38.2863612569002
"UTP3",38.2681468766054
"TDRKH",38.2346678819641
"LMLN-AS1",38.1853823767565
"PON3",38.1395982359794
"SDS",38.1358188090408
"OPRL1",38.1306026003937
"DGCR11",37.9747283137923
"NECTIN2",37.9620028974619
"NCR3LG1",37.9472658942402
"MAPK12",37.8683446931493
"TRIM61",37.8606543366542
"SMAD1",37.7921899086771
"SHF",37.7820672299938
"RRAGD",37.6557353576902
"HNRNPA3P11",37.6095525336295
"GPR75",37.4782352639384
"SLC25A6P3",37.471725525197
"RPS2P53",37.453554879073
"PGBD4",37.4039673099518
"HOMER2P1",37.3403014047081
"S100A9",37.3007768644438
"MISP3",37.166576416673
"CEBPB",37.091880074104
"HMX3",36.9877215864244
"RN7SL442P",36.9539365280806
"RXFP4",36.907722401213
"EN2",36.8917260802018
"RPS3AP27",36.8527540372334
"EGR3",36.8271847581536
"SLC26A6",36.8011160155468
"RPL21P95",36.7701146708303
"HTRA4",36.7354529070886
"GPR37L1",36.7088759673504
"PCYT2",36.6297675200816
"FTCDNL1",36.6242368125614
"CCDC13-AS2",36.6167549672419
"CLEC17A",36.5797455433385
"LINC01507",36.3296647989368
"POMT1",36.2266842957304
"RABGAP1L-DT",36.2014155076754
"RBSN",36.169209574257
"ZNF670",36.1368516387069
"ZFP36",36.1095727361655
"CCNJP2",36.0097056638853
"PUS1",35.9608181687441
"LINC00930",35.9592522995219
"ABCC6",35.9491284313606
"PIP5K1C",35.9444996633457
"ZNF8",35.892916193689
"ZFP62",35.8667672484188
"SLC28A3",35.791359520165
"TGFA",35.7902971496755
"ZNF626",35.7010465572054
"IQCC",35.688099555647
"TRGV1",35.6677175840775
"FAM83F",35.6151815110356
"ACTG2",35.6120024208695
"DOK7",35.5908348849628
"RABGGTBP1",35.5781445395609
"TINAGL1",35.5762348181583
"DSG2",35.5479925641659
"CDC20-DT",35.4112965593795
"ARL11",35.376800757701
