cell	cell_type
TN_SRR10777230	Mast cell
TN_SRR10777231	Macrophage
TN_SRR10777232	Endothelial
TN_SRR10777279	Endothelial
TN_SRR10777369	Endothelial
TN_SRR10777488	T cell
TN_SRR10777489	B cell
TN_SRR10777490	B cell
TN_SRR10777538	B cell
TN_SRR10777592	B cell
TN_SRR10777593	B cell
TN_SRR10777656	T cell
TN_SRR10777657	T cell
TN_SRR10777727	Fibroblast
TN_SRR10777791	T cell
TN_SRR10777793	T cell
TN_SRR10777889	Mast cell
TN_SRR10777949	T cell
TN_SRR10778014	T cell
TN_SRR10778016	T cell
TN_SRR10778254	Endothelial
TN_SRR10778255	Endothelial
TN_SRR10778313	Macrophage
TN_SRR10778660	T cell
TN_SRR10778706	T cell
TN_SRR10778707	T cell
TN_SRR10778769	T cell
TN_SRR10778770	B cell
TN_SRR10778828	T cell
TN_SRR10778892	B cell
TN_SRR10778953	Macrophage
TN_SRR10779005	Mast cell
TN_SRR10779069	Mast cell
TN_SRR10779070	Macrophage
TN_SRR10779132	cDC
TN_SRR10779134	Mast cell
TN_SRR10779195	Mast cell
TN_SRR10779252	cDC
TN_SRR10779253	Mast cell
TN_SRR10779312	cDC
TN_SRR10779313	Endothelial
TN_SRR10779378	Macrophage
TN_SRR10779436	Endothelial
TN_SRR10779497	Mast cell
TN_SRR10779554	Endothelial
TN_SRR10779610	B cell
TN_SRR10779611	Fibroblast
TN_SRR10779612	B cell
TN_SRR10779662	Fibroblast
TN_SRR10779663	B cell
TN_SRR10779664	B cell
TN_SRR10779693	Epithelial
TN_SRR10779694	T cell
TN_SRR10779801	T cell
TN_SRR10779932	T cell
TN_SRR10779934	T cell
TN_SRR10780011	Fibroblast
TN_SRR10780073	B cell
TN_SRR10780252	cDC
TN_SRR10780253	cDC
TN_SRR10780312	Mast cell
TN_SRR10780502	Endothelial
TN_SRR10780724	T cell
TN_SRR10780725	Fibroblast
TN_SRR10780778	B cell
TN_SRR10780779	T cell
TN_SRR10780837	Epithelial
TN_SRR10780838	T cell
TN_SRR10780906	Epithelial
TN_SRR10781042	T cell
TN_SRR10781285	T cell
TN_SRR10781286	Fibroblast
TN_SRR10781543	cDC
TN_SRR10781664	Endothelial
TN_SRR10781665	Mast cell
TN_SRR10781793	Mast cell
TN_SRR10781794	Macrophage
TN_SRR10781915	Macrophage
TN_SRR10781916	Endothelial
TN_SRR10781977	Macrophage
TN_SRR10782032	T cell
TN_SRR10782088	T cell
TN_SRR10782154	Fibroblast
TN_SRR10782156	B cell
TN_SRR10782213	T cell
TN_SRR10782214	T cell
TN_SRR10782277	T cell
TN_SRR10782345	T cell
TN_SRR10782346	T cell
TN_SRR10782408	T cell
TN_SRR10782470	T cell
TN_SRR10782471	T cell
TN_SRR10782472	B cell
TN_SRR10782605	T cell
TN_SRR10782606	T cell
TN_SRR10782908	Endothelial
TN_SRR10783043	Endothelial
TN_SRR10783175	Macrophage
TN_SRR10783230	Mast cell
TN_SRR10783289	Endothelial
TN_SRR10783290	Mast cell
TN_SRR10783354	T cell
TN_SRR10783355	Fibroblast
TN_SRR10783393	B cell
TN_SRR10783394	T cell
TN_SRR10783463	B cell
TN_SRR10783526	T cell
TN_SRR10783527	T cell
TN_SRR10783578	T cell
TN_SRR10783579	T cell
TN_SRR10783646	T cell
TN_SRR10783647	Fibroblast
TN_SRR10783776	B cell
TN_SRR10783777	T cell
TN_SRR10783778	Macrophage
TN_SRR10783936	Endothelial
TN_SRR10784061	cDC
TN_SRR10784062	cDC
TN_SRR10784237	T cell
TN_SRR10784238	Fibroblast
TN_SRR10784239	T cell
TN_SRR10784273	Fibroblast
TN_SRR10784274	B cell
TN_SRR10784332	T cell
TN_SRR10784334	T cell
TN_SRR10784396	Fibroblast
TN_SRR10784397	T cell
TN_SRR10784398	T cell
TN_SRR10784441	B cell
TN_SRR10784442	T cell
TN_SRR10784503	Fibroblast
TN_SRR10784504	T cell
TN_SRR10784505	Fibroblast
TN_SRR10784630	T cell
TN_SRR10784631	B cell
TN_SRR10784763	Fibroblast
TN_SRR10784884	Endothelial
TN_SRR10784953	Macrophage
TN_SRR10784954	cDC
TN_SRR10784980	Endothelial
TN_SRR10784981	cDC
TN_SRR10785038	Mast cell
TN_SRR10785039	Mast cell
TN_SRR10785087	B cell
TN_SRR10785088	B cell
TN_SRR10785135	B cell
TN_SRR10785136	T cell
TN_SRR10785137	T cell
TN_SRR10785261	T cell
TN_SRR10785263	T cell
TN_SRR10785336	T cell
TN_SRR10785337	T cell
TN_SRR10785399	T cell
TN_SRR10785400	T cell
TN_SRR10785689	cDC
TN_SRR10785690	Mast cell
TN_SRR10785773	cDC
TN_SRR10785774	cDC
TN_SRR10785829	Mast cell
TN_SRR10785881	T cell
TN_SRR10785939	Fibroblast
TN_SRR10786011	T cell
TN_SRR10786078	B cell
TN_SRR10786079	T cell
TN_SRR10786117	Macrophage
TN_SRR10786119	T cell
TN_SRR10786182	B cell
TN_SRR10786183	B cell
TN_SRR10786252	T cell
TN_SRR10786383	T cell
TN_SRR10786384	T cell
TN_SRR10786459	T cell
TN_SRR10786525	T cell
TN_SRR10786696	Mast cell
TN_SRR10786867	Mast cell
TN_SRR10786926	Mast cell
TN_SRR10786927	Endothelial
TN_SRR10787035	cDC
TN_SRR10787094	Macrophage
TN_SRR10787148	T cell
TN_SRR10787205	T cell
TN_SRR10787206	T cell
TN_SRR10787207	T cell
TN_SRR10787260	Fibroblast
TN_SRR10787261	T cell
TN_SRR10787262	T cell
TN_SRR10787322	T cell
TN_SRR10787324	T cell
TN_SRR10787383	T cell
TN_SRR10787384	T cell
TN_SRR10787448	B cell
TN_SRR10787450	Macrophage
TN_SRR10787571	Fibroblast
TN_SRR10787572	B cell
TN_SRR10787631	Macrophage
TN_SRR10787695	Fibroblast
TN_SRR10787696	T cell
TN_SRR10787768	B cell
TN_SRR10787769	T cell
TN_SRR10787828	B cell
TN_SRR10787829	Fibroblast
TN_SRR10787890	Macrophage
TN_SRR10788010	Endothelial
TN_SRR10788062	Macrophage
TN_SRR10788063	Macrophage
TN_SRR10788114	Macrophage
TN_SRR10788141	Endothelial
TN_SRR10788245	cDC
TN_SRR10788346	T cell
TN_SRR10788348	T cell
TN_SRR10788416	T cell
TN_SRR10788418	B cell
TN_SRR10788486	Macrophage
TN_SRR10788537	B cell
TN_SRR10788538	B cell
TN_SRR10788671	B cell
TN_SRR10788725	B cell
TN_SRR10788726	T cell
TN_SRR10788727	B cell
TN_SRR10788747	T cell
TN_SRR10788748	T cell
TN_SRR10788813	T cell
TN_SRR10788814	T cell
TN_SRR10788880	Fibroblast
TN_SRR10788881	T cell
TN_SRR10788882	T cell
TN_SRR10789010	Endothelial
TN_SRR10789011	Macrophage
TN_SRR10789074	T cell
TN_SRR10789119	Mast cell
TN_SRR10789175	Endothelial
TN_SRR10789176	Mast cell
TN_SRR10789236	cDC
TN_SRR10789265	Endothelial
TN_SRR10789320	Mast cell
TN_SRR10789370	Macrophage
TN_SRR10789424	T cell
TN_SRR10789425	B cell
TN_SRR10789493	T cell
TN_SRR10789494	T cell
TN_SRR10789552	T cell
TN_SRR10789553	B cell
TN_SRR10789618	B cell
TN_SRR10789620	T cell
TN_SRR10789681	T cell
TN_SRR10789742	Endothelial
TN_SRR10789798	B cell
TN_SRR10789799	T cell
TN_SRR10789800	T cell
TN_SRR10789862	T cell
TN_SRR10789863	T cell
TN_SRR10789925	Fibroblast
TN_SRR10789926	T cell
TN_SRR10789984	Mast cell
TN_SRR10790042	Macrophage
TN_SRR10790151	Macrophage
TN_SRR10790201	Mast cell
TN_SRR10790202	cDC
TN_SRR10790203	Mast cell
TN_SRR10790403	T cell
TN_SRR10790405	B cell
TN_SRR10790452	Fibroblast
TN_SRR10790454	B cell
TN_SRR10790520	T cell
TN_SRR10790521	T cell
TN_SRR10790718	T cell
TN_SRR10790719	T cell
TN_SRR10790787	T cell
TN_SRR10790788	T cell
TN_SRR10790894	Endothelial
TN_SRR10790965	cDC
TN_SRR10791056	T cell
TN_SRR10791148	T cell
TN_SRR10791149	T cell
TN_SRR10791218	B cell
TN_SRR10791219	T cell
TN_SRR10791301	cDC
TN_SRR10791302	Endothelial
TN_SRR10791391	Endothelial
TN_SRR10791550	T cell
TN_SRR10791665	B cell
TN_SRR10791666	T cell
TN_SRR10791667	Fibroblast
TN_SRR10791737	Epithelial
TN_SRR10791738	T cell
TN_SRR10791739	B cell
TN_SRR10791860	T cell
TN_SRR10791862	T cell
TN_SRR10791868	Fibroblast
TN_SRR10791945	T cell
TN_SRR10792000	B cell
TN_SRR10792001	B cell
TN_SRR10792074	T cell
TN_SRR10792075	T cell
TN_SRR10792218	Macrophage
TN_SRR10792273	Mast cell
TN_SRR10792355	Mast cell
TN_SRR10792415	Fibroblast
TN_SRR10792417	B cell
TN_SRR10792541	Epithelial
TN_SRR10792587	Mast cell
TN_SRR10792588	Endothelial
TN_SRR10792647	Mast cell
TN_SRR10792648	Mast cell
TN_SRR10792658	Endothelial
TN_SRR10792659	Macrophage
TN_SRR10792712	Macrophage
TN_SRR10792887	Mast cell
TN_SRR10792888	Endothelial
TN_SRR10792990	Fibroblast
TN_SRR10792992	T cell
TN_SRR10793060	B cell
TN_SRR10793119	T cell
TN_SRR10793184	Macrophage
TN_SRR10793300	Mast cell
TN_SRR10793301	Endothelial
TN_SRR10793353	Mast cell
TN_SRR10793454	Macrophage
TN_SRR10793455	Macrophage
TN_SRR10793456	Mast cell
TN_SRR10793512	Endothelial
TN_SRR10793565	Endothelial
TN_SRR10793670	B cell
TN_SRR10793672	T cell
TN_SRR10793731	Fibroblast
TN_SRR10793733	T cell
TN_SRR10793795	B cell
TN_SRR10793796	T cell
TN_SRR10793816	Mast cell
TN_SRR10793864	Macrophage
TN_SRR10793891	T cell
TN_SRR10793893	Fibroblast
TN_SRR10793958	T cell
TN_SRR10793960	T cell
TN_SRR10794132	Macrophage
TN_SRR10794133	cDC
TN_SRR10794204	B cell
TN_SRR10794205	B cell
TN_SRR10794206	T cell
TN_SRR10794249	Mast cell
TN_SRR10794335	T cell
TN_SRR10794336	T cell
TN_SRR10794451	B cell
TN_SRR10794452	T cell
TN_SRR10794537	B cell
TN_SRR10794596	T cell
TN_SRR10794598	T cell
TN_SRR10794664	T cell
TN_SRR10794795	Macrophage
TN_SRR10794796	Macrophage
TN_SRR10794907	Mast cell
TN_SRR10794969	T cell
TN_SRR10795048	Macrophage
TN_SRR10795049	Endothelial
TN_SRR10795101	Endothelial
TN_SRR10795176	T cell
TN_SRR10795177	T cell
TN_SRR10795256	T cell
TN_SRR10795257	T cell
TN_SRR10795258	T cell
TN_SRR10795324	Mast cell
TN_SRR10795379	cDC
TN_SRR10795380	Macrophage
TN_SRR10795439	Endothelial
TN_SRR10795502	B cell
TN_SRR10795503	B cell
TN_SRR10795606	Endothelial
TN_SRR10795607	Macrophage
TN_SRR10795723	Mast cell
TN_SRR10795744	T cell
TN_SRR10795745	B cell
TN_SRR10795804	T cell
TN_SRR10795805	T cell
TN_SRR10795822	Macrophage
TN_SRR10795884	B cell
TN_SRR10795940	Fibroblast
TN_SRR10796042	Fibroblast
TN_SRR10796043	B cell
TN_SRR10796044	B cell
TN_SRR10796129	T cell
TN_SRR10796189	T cell
TN_SRR10796303	B cell
TN_SRR10796305	T cell
TN_SRR10796382	T cell
TN_SRR10796383	T cell
TN_SRR10796384	T cell
TN_SRR10796497	Mast cell
TN_SRR10796546	T cell
TN_SRR10796547	T cell
TN_SRR10796548	T cell
TN_SRR10796698	Macrophage
TN_SRR10796699	B cell
TN_SRR10796700	Fibroblast
TN_SRR10796759	cDC
TN_SRR10796854	cDC
TN_SRR10796855	Mast cell
TN_SRR10796888	T cell
TN_SRR10796889	T cell
TN_SRR10796970	cDC
TN_SRR10797113	T cell
TN_SRR10797210	B cell
TN_SRR10797232	Fibroblast
TN_SRR10797233	T cell
TN_SRR10797234	T cell
TN_SRR10797294	B cell
TN_SRR10797295	T cell
TN_SRR10797296	T cell
TN_SRR10797388	T cell
TN_SRR10797389	T cell
TN_SRR10797390	B cell
TN_SRR10797458	T cell
TN_SRR10797460	T cell
TN_SRR10797535	T cell
TN_SRR10797586	T cell
TN_SRR10797683	Epithelial
TN_SRR10797684	B cell
TN_SRR10797685	B cell
TN_SRR10797746	T cell
TN_SRR10797748	B cell
TN_SRR10797763	T cell
TN_SRR10797765	T cell
TN_SRR10797822	T cell
TN_SRR10797823	Fibroblast
TN_SRR10797824	B cell
TN_SRR10797966	cDC
TN_SRR10798017	Epithelial
TN_SRR10798018	T cell
TN_SRR10798019	T cell
TN_SRR10798083	T cell
TN_SRR10798084	B cell
TN_SRR10798085	B cell
TN_SRR10798130	Mast cell
TN_SRR10798243	Fibroblast
TN_SRR10798423	Endothelial
TN_SRR10798530	T cell
TN_SRR10798531	B cell
TN_SRR10798532	T cell
TN_SRR10798590	Mast cell
TN_SRR11618573	Mast cell
TN_SRR11618584	B cell
TN_SRR11618590	Epithelial
TN_SRR11618591	Macrophage
TN_SRR11618630	Macrophage
TN_SRR11618643	Macrophage
TN_SRR11618664	Macrophage
TN_SRR11618670	cDC
TN_SRR11618691	Mast cell
TN_SRR11618694	cDC
TN_SRR11618697	Mast cell
TN_SRR11618705	B cell
TN_SRR11618710	Macrophage
TN_SRR11618711	cDC
TN_SRR11618715	B cell
TN_SRR11618716	B cell
TN_SRR11618722	B cell
TN_SRR11618723	T cell
TN_SRR11618731	Macrophage
TN_SRR11618738	T cell
TN_SRR11618749	T cell
TN_SRR11618750	Epithelial
TN_SRR11618757	Macrophage
TN_SRR11618758	Macrophage
TN_SRR11618765	B cell
TN_SRR11618773	T cell
TN_SRR11618781	T cell
TN_SRR11618793	T cell
TN_SRR11618801	T cell
TN_SRR11618802	Epithelial
TN_SRR11618808	B cell
TN_SRR11618809	Macrophage
TN_SRR11618825	T cell
TN_SRR11618832	B cell
TN_SRR11618833	T cell
TN_SRR11618854	Macrophage
TN_SRR11618862	T cell
TN_SRR11618872	Macrophage
TN_SRR11618898	Macrophage
TN_SRR11618925	cDC
TN_SRR11618930	cDC
TN_SRR11618940	Macrophage
TN_SRR11618951	T cell
TN_SRR11618952	Macrophage
TN_SRR11618958	Macrophage
TN_SRR11618966	T cell
TN_SRR11618974	T cell
TN_SRR11618981	Epithelial
TN_SRR11618989	B cell
TN_SRR11618990	B cell
TN_SRR11618999	Macrophage
TN_SRR11619012	Macrophage
TN_SRR11619019	Epithelial
TN_SRR11619020	T cell
TN_SRR11619029	T cell
TN_SRR11619030	Macrophage
TN_SRR11619035	Macrophage
TN_SRR11619042	cDC
TN_SRR11619052	cDC
TN_SRR11619086	cDC
TN_SRR11619092	cDC
TN_SRR11619098	T cell
TN_SRR11619099	Macrophage
TN_SRR11619104	T cell
TN_SRR11619105	B cell
TN_SRR11619111	B cell
TN_SRR11619114	Epithelial
TN_SRR11619118	B cell
TN_SRR11619119	T cell
TN_SRR11619126	B cell
TN_SRR11619127	B cell
TN_SRR11619132	Fibroblast
TN_SRR11619133	T cell
TN_SRR11619136	cDC
TN_SRR11619140	Macrophage
TN_SRR11619141	B cell
TN_SRR11619143	Macrophage
TN_SRR11619144	T cell
TN_SRR11619591	B cell
TN_SRR11619592	T cell
TN_SRR11619597	B cell
TN_SRR11619598	B cell
TN_SRR11619605	Epithelial
TN_SRR11619610	T cell
TN_SRR11619620	T cell
TN_SRR11619625	Macrophage
TN_SRR11619631	B cell
TN_SRR11619632	Epithelial
TN_SRR11619669	cDC
TN_SRR11619675	cDC
TN_SRR11619683	cDC
TN_SRR11619688	cDC
TN_SRR11619695	Macrophage
TN_SRR11619718	cDC
TN_SRR11619724	cDC
TN_SRR11619735	Macrophage
TN_SRR11619736	T cell
TN_SRR11619740	Macrophage
TN_SRR11619745	Macrophage
TN_SRR11619746	T cell
TN_SRR11619750	T cell
TN_SRR11619757	B cell
TN_SRR11619773	Epithelial
TN_SRR11619780	T cell
TN_SRR11619784	T cell
TN_SRR11619785	T cell
TN_SRR11619792	T cell
TN_SRR11619802	Epithelial
TN_SRR11619809	B cell
TN_SRR11619810	B cell
TN_SRR11619814	cDC
TN_SRR11619818	Macrophage
TN_SRR11619819	Macrophage
TN_SRR11619825	T cell
TN_SRR11619829	Macrophage
TN_SRR11619830	Epithelial
TN_SRR11619855	cDC
TN_SRR11619859	cDC
TN_SRR11619892	cDC
TN_SRR11619903	Mast cell
TN_SRR11619904	cDC
TN_SRR11619909	cDC
TN_SRR11619913	cDC
TN_SRR11619918	Macrophage
TN_SRR11619925	T cell
