interacting_pair	B cell|B cell	B cell|Endothelial	B cell|Epithelial	B cell|Fibroblast	B cell|Macrophage	B cell|Mast cell	B cell|Melanocyte	B cell|T cell	B cell|cDC	B cell|pDC	Endothelial|B cell	Endothelial|Endothelial	Endothelial|Epithelial	Endothelial|Fibroblast	Endothelial|Macrophage	Endothelial|Mast cell	Endothelial|Melanocyte	Endothelial|T cell	Endothelial|cDC	Endothelial|pDC	Epithelial|B cell	Epithelial|Endothelial	Epithelial|Epithelial	Epithelial|Fibroblast	Epithelial|Macrophage	Epithelial|Mast cell	Epithelial|Melanocyte	Epithelial|T cell	Epithelial|cDC	Epithelial|pDC	Fibroblast|B cell	Fibroblast|Endothelial	Fibroblast|Epithelial	Fibroblast|Fibroblast	Fibroblast|Macrophage	Fibroblast|Mast cell	Fibroblast|Melanocyte	Fibroblast|T cell	Fibroblast|cDC	Fibroblast|pDC	Macrophage|B cell	Macrophage|Endothelial	Macrophage|Epithelial	Macrophage|Fibroblast	Macrophage|Macrophage	Macrophage|Mast cell	Macrophage|Melanocyte	Macrophage|T cell	Macrophage|cDC	Macrophage|pDC	Mast cell|B cell	Mast cell|Endothelial	Mast cell|Epithelial	Mast cell|Fibroblast	Mast cell|Macrophage	Mast cell|Mast cell	Mast cell|Melanocyte	Mast cell|T cell	Mast cell|cDC	Mast cell|pDC	Melanocyte|B cell	Melanocyte|Endothelial	Melanocyte|Epithelial	Melanocyte|Fibroblast	Melanocyte|Macrophage	Melanocyte|Mast cell	Melanocyte|Melanocyte	Melanocyte|T cell	Melanocyte|cDC	Melanocyte|pDC	T cell|B cell	T cell|Endothelial	T cell|Epithelial	T cell|Fibroblast	T cell|Macrophage	T cell|Mast cell	T cell|Melanocyte	T cell|T cell	T cell|cDC	T cell|pDC	cDC|B cell	cDC|Endothelial	cDC|Epithelial	cDC|Fibroblast	cDC|Macrophage	cDC|Mast cell	cDC|Melanocyte	cDC|T cell	cDC|cDC	cDC|pDC	pDC|B cell	pDC|Endothelial	pDC|Epithelial	pDC|Fibroblast	pDC|Macrophage	pDC|Mast cell	pDC|Melanocyte	pDC|T cell	pDC|cDC	pDC|pDC
HLA-E_VSIR	23.244	17.293	15.353	14.196	10.624	4.456	0.0	19.525	10.178	8.675	83.239	61.927	54.981	50.838	38.045	15.957	0.0	69.922	36.447	31.065	4.425	3.292	2.923	2.702	2.022	0.848	0.0	3.717	1.937	1.651	98.205	73.062	64.867	59.978	44.885	18.826	0.0	82.495	43.0	36.651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	74.397	66.052	61.074	45.706	19.17	0.0	84.002	43.786	37.321	94.095	70.004	62.152	57.468	43.007	18.038	0.0	79.042	41.201	35.117	51.134	38.042	33.775	31.23	23.371	9.803	0.0	42.954	22.39	19.084	17.581	13.079	11.612	10.737	8.035	3.37	0.0	14.768	7.698	6.561	60.2	44.787	39.763	36.767	27.515	11.541	0.0	50.569	26.359	22.467
PPIA_BSG	3.491	33.233	15.574	20.924	4.77	32.1	36.465	0.0	23.854	7.441	5.569	53.008	24.841	33.374	7.609	51.201	58.162	0.0	38.048	11.869	4.543	43.242	20.265	27.225	6.207	41.768	47.447	0.0	31.039	9.682	0.941	8.954	4.196	5.637	1.285	8.649	9.825	0.0	6.427	2.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.448	61.374	28.762	38.641	8.81	59.282	67.342	0.0	44.054	13.742	7.724	73.529	34.458	46.294	10.554	71.022	80.679	0.0	52.778	16.463	2.191	20.857	9.774	13.132	2.994	20.146	22.885	0.0	14.971	4.67	9.574	91.138	42.711	57.38	13.082	88.031	100.0	0.0	65.417	20.406	8.235	78.389	36.736	49.354	11.252	75.717	86.012	0.0	56.267	17.552
ICAM1_SPN	40.997	16.874	66.658	58.826	35.933	0.0	0.0	66.709	79.173	10.796	5.087	2.094	8.27	7.299	4.458	0.0	0.0	8.277	9.823	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.017	12.354	48.805	43.071	26.309	0.0	0.0	48.842	57.969	7.905	26.767	11.017	43.521	38.407	23.461	0.0	0.0	43.554	51.692	7.049	48.692	20.041	79.17	69.868	42.678	0.0	0.0	79.23	94.035	12.823	49.325	20.301	80.199	70.776	43.233	0.0	0.0	80.26	95.257	12.99	3.779	1.555	6.144	5.422	3.312	0.0	0.0	6.149	7.298	0.995	51.781	21.312	84.192	74.3	45.386	0.0	0.0	84.257	100.0	13.636	11.803	4.858	19.19	16.935	10.345	0.0	0.0	19.205	22.793	3.108
VEGFA_NRP1	17.315	94.938	28.837	30.587	0.0	75.883	12.017	0.0	93.921	91.929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.143	17.234	5.235	5.552	0.0	13.775	2.181	0.0	17.049	16.688	18.238	100.0	30.375	32.218	0.0	79.929	12.658	0.0	98.929	96.831	3.165	17.352	5.271	5.59	0.0	13.869	2.196	0.0	17.166	16.802	11.057	60.629	18.416	19.533	0.0	48.461	7.674	0.0	59.98	58.708	6.567	36.009	10.938	11.601	0.0	28.782	4.558	0.0	35.623	34.868	4.144	22.722	6.902	7.32	0.0	18.161	2.876	0.0	22.478	22.001	6.036	33.095	10.052	10.662	0.0	26.452	4.189	0.0	32.74	32.046	12.467	68.361	20.764	22.024	0.0	54.64	8.653	0.0	67.629	66.194
JAG1_NOTCH2	50.383	9.543	46.708	30.209	0.0	17.452	42.563	31.533	90.383	40.336	55.745	10.558	51.678	33.424	0.0	19.309	47.092	34.889	100.0	44.628	11.951	2.263	11.079	7.165	0.0	4.139	10.096	7.48	21.438	9.567	47.266	8.952	43.818	28.34	0.0	16.372	39.929	29.582	84.79	37.84	34.51	6.536	31.993	20.692	0.0	11.953	29.153	21.599	61.907	27.628	13.852	2.624	12.842	8.305	0.0	4.798	11.702	8.67	24.849	11.09	20.145	3.815	18.675	12.079	0.0	6.978	17.018	12.608	36.138	16.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.277	5.356	26.214	16.954	0.0	9.794	23.888	17.697	50.725	22.638	26.526	5.024	24.591	15.905	0.0	9.188	22.409	16.602	47.586	21.237
SEMA4A_PLXND1	51.41	64.343	0.0	25.163	12.784	33.984	22.732	25.369	22.703	41.027	9.283	11.618	0.0	4.544	2.308	6.136	4.105	4.581	4.099	7.408	6.521	8.161	0.0	3.192	1.622	4.311	2.883	3.218	2.88	5.204	45.371	56.784	0.0	22.207	11.283	29.991	20.062	22.388	20.036	36.208	22.603	28.288	0.0	11.063	5.621	14.941	9.994	11.153	9.981	18.038	57.623	72.118	0.0	28.204	14.329	38.09	25.479	28.434	25.446	45.985	63.071	78.937	0.0	30.87	15.684	41.691	27.888	31.122	27.852	50.333	9.577	11.987	0.0	4.688	2.382	6.331	4.235	4.726	4.229	7.643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.9	100.0	0.0	39.107	19.869	52.816	35.33	39.427	35.284	63.763
TGFB1_TGFbeta_receptor2	0.0	0.0	70.412	40.352	33.436	29.375	25.137	0.0	97.941	46.56	0.0	0.0	16.252	9.314	7.717	6.78	5.802	0.0	22.606	10.747	0.0	0.0	63.592	36.444	30.198	26.53	22.702	0.0	88.454	42.05	0.0	0.0	35.411	20.294	16.815	14.773	12.641	0.0	49.255	23.415	0.0	0.0	47.747	27.363	22.673	19.92	17.045	0.0	66.414	31.573	0.0	0.0	19.921	11.416	9.46	8.311	7.112	0.0	27.709	13.173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.893	41.201	34.139	29.993	25.665	0.0	100.0	47.539	0.0	0.0	18.747	10.744	8.902	7.821	6.692	0.0	26.076	12.396	0.0	0.0	53.876	30.875	25.584	22.476	19.233	0.0	74.939	35.625
TNFSF14_TNFRSF14	28.41	17.011	0.0	15.551	10.419	36.273	44.36	15.352	6.162	29.783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.045	38.348	0.0	35.056	23.488	81.77	100.0	34.608	13.89	67.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.597	10.536	0.0	9.632	6.453	22.467	27.476	9.509	3.816	18.447	22.31	13.359	0.0	12.212	8.182	28.485	34.835	12.056	4.839	23.388	7.723	4.624	0.0	4.227	2.832	9.861	12.059	4.173	1.675	8.096	51.017	30.547	0.0	27.925	18.71	65.136	79.657	27.568	11.065	53.481	49.372	29.562	0.0	27.025	18.107	63.037	77.09	26.679	10.708	51.757	24.822	14.862	0.0	13.587	9.103	31.692	38.757	13.413	5.383	26.021
AREG_EGFR	0.0	0.0	23.486	28.381	62.992	100.0	92.017	0.0	80.276	34.139	0.0	0.0	1.698	2.052	4.555	7.231	6.654	0.0	5.805	2.469	0.0	0.0	12.271	14.829	32.912	52.248	48.077	0.0	41.943	17.837	0.0	0.0	10.884	13.152	29.192	46.341	42.642	0.0	37.201	15.82	0.0	0.0	18.36	22.187	49.244	78.175	71.934	0.0	62.755	26.688	0.0	0.0	21.144	25.552	56.712	90.029	82.842	0.0	72.272	30.735	0.0	0.0	2.834	3.425	7.602	12.068	11.104	0.0	9.687	4.12	0.0	0.0	6.823	8.245	18.299	29.05	26.731	0.0	23.32	9.917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.182	2.636	5.851	9.289	8.547	0.0	7.457	3.171
JAG1_NOTCH3	0.0	0.0	0.0	90.383	0.0	29.073	52.933	0.0	87.63	51.72	0.0	0.0	0.0	100.0	0.0	32.167	58.566	0.0	96.955	57.224	0.0	0.0	0.0	21.438	0.0	6.896	12.555	0.0	20.785	12.268	0.0	0.0	0.0	84.79	0.0	27.274	49.658	0.0	82.208	48.52	0.0	0.0	0.0	61.907	0.0	19.914	36.257	0.0	60.022	35.426	0.0	0.0	0.0	24.849	0.0	7.993	14.553	0.0	24.092	14.219	0.0	0.0	0.0	36.138	0.0	11.624	21.165	0.0	35.038	20.679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.725	0.0	16.317	29.708	0.0	49.181	29.027	0.0	0.0	0.0	47.586	0.0	15.307	27.869	0.0	46.137	27.23
